 1: "Power",
            105: "Teleport 3",
            106: "Package opening",
            107: "Instant harvest",
            108: "Instant recall",
            109: "Resource production",
            110: "Name change",
            111: "King's Shield",
            112: "vs Monster HP",
            113: "vs Monster Defense",
            114: "vs Monster Attack",
            115: "Summon Monster",
            116: "Summon Resources",
            117: "Action point regeneration",
            118: "Daily Free Chest",
            119: "Resource reserves",
            120: "Dispel",
            121: "Dev point",
            122: "Alliance Teleport",
            123: "Resource box",
            124: "Speedup box",
            125: "Intercontinental Teleport",
            126: "Ban Advanced Teleport",
            127: "Ban Shield",
            128: "Recruit T1 Troops",
            129: "Spawn crystal mine Lv4",
            130: "Spawn crystal mine Lv5",
            131: "Candy drop rate x2",
            132: "Experience points",
            133: "Infantry HP when composed of infantry only",
            134: "Infantry defense when composed of infantry only",
            135: "Infantry attack when composed of infantry only",
            136: "Archer HP when composed of archer only",
            137: "Archer defense when composed of archer only",
            138: "Archer attack when composed of archer only",
            139: "Cavalry HP when composed of cavalry only",
            140: "Cavalry defense when composed of cavalry only",
            141: "Cavalry attack when composed of cavalry only",
            142: "Castle defending Infantry's defense",
            143: "Infantry HP against archer",
            144: "Infantry defense under 50% HP",
            145: "Castle defending Infantry's HP",
            146: "Infantry defense when participating a rally",
            147: "Infantry attack when invading enemy kingdom",
            148: "Castle defending archer's attack",
            149: "Archer's attack against cavalry",
            150: "Archer's attack for the first 2 turns",
            151: "Archer's defense when raiding resource gathering",
            152: "Archer's HP when participating a rally",
            153: "Cavalry's speed when raiding enemy kingdom",
            154: "Cavalry speed when raiding resource gathering",
            155: "Cavalry attack when marching over 200km",
            156: "Cavalry defense when marching over 200km",
            157: "Cavalry speed when composed of cavalry only",
            158: "Troop speed when participating in a rally",
            159: "Troop attack when raiding collectors",
            160: "Troop HP when composed of all troop types",
            161: "Troop defense when composed of all troop types",
            162: "Troop attack when composed of all troop types",
            163: "Reduced action point consumption",
            164: "Troop speed against monster",
            165: "Resources gained from monster",
            166: "Item drop rate from monster",
            167: "March size against monster",
            168: "Increase buff duration",
            169: "Resource production per 10, 000 troops",
            170: "Skill cooldown reduction",
            171: "Gathering speed per 10, 000 troops",
            172: "Archer attack when invading enemy kingdoms",
            173: "Mastery point",
            174: "Christmas ornaments x2",
            175: "Resource gathering protection",
            176: "The first takeover points",
            177: "The defense points",
            178: "The final holders' bonus",
            179: "Troop health when defending",
            180: "Defense of troops when defending",
            181: "Troop attack when defending",
            182: "Infantry DEFENSE versus Archer",
            183: "Infantry ATTACK versus Archer",
            184: "Archery HP versus Cavalry",
            185: "Archery defense versus Cavalry",
            186: "Cavalry HP versus Infantry",
            187: "Cavalry DEFENSE versus Infantry",
            188: "Cavalry ATTACK versus Infantry",
            189: "Infantry ATTACK when defending castle",
            190: "Archery HP when defending castle",
            191: "Archery DEFENSE when defending castle",
            192: "Cavalry HP when defending castle",
            193: "Cavalry DEFENSE when defending castle",
            194: "Cavalry ATTACK when defending castle",
            195: "Infantry HP when participating a rally",
            196: "Infantry ATTACK when participating a rally",
            197: "Archery's DEFENSE when participating a rally",
            198: "Archery ATTACK when participating a rally",
            199: "Cavalry HP when participating a rally",
            200: "Cavalry DEFENSE when participating a rally",
            201: "Cavalry ATTACK when participating a rally",
            202: "Reconnaissance distance",
            203: "March speedup",
            204: "Archer speed when composed of archer only",
            205: "Infantry speed when composed of infantry only",
            206: "Troop HP when participating in a rally",
            207: "Troop DEFENS when participating in a rally",
            208: "Troop ATTACK when participating in a rally",
            209: "Enemy Troop HP Debuff",
            210: "Enemy Troop Defense Debuff",
            211: "Enemy Troop Attack Debuff",
            212: "drago slots",
            213: "defence drago slots"
